id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1860-105100,1867-3-28,12,0-1-1-0-0-0-1-0-0-2-2-1-3-0-0,1860,1.370959549591772,2.9166666666666665,4.0,0.9166666666666666,5,7,0.0,2.446280991735537,0.9090909090909091,0.6115702479338843,1.4545454545454546,4
1860-108821,1867-3-28,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-103208,1867-3-29,12,0-1-1-0-0-0-1-0-1-3-3-1-0-0-0,1860,1.3153896984369613,3.0833333333333335,4.0,0.875,4,7,0.0,1.9008264462809914,0.9090909090909091,0.6115702479338843,1.5454545454545454,4
1860-91232,1867-3-29,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-20426,1867-3-29,12,0-1-1-0-0-0-0-0-1-3-3-0-1-0-0,1860,1.6275074357420367,1.6666666666666667,3.0,0.725,5,6,0.0,2.29,0.9,0.41,1.3,6
1860-97922,1867-3-30,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-77535,1867-3-30,11,0-1-1-0-0-0-0-2-0-3-3-0-0-0-0,1860,1.693511664312396,1.3636363636363635,4.0,0.5,2,5,0.0,0.8900000000000002,0.9,0.89,1.9,6
1860-97505,1867-3-4,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-86208,1867-3-6,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-20289,1867-3-6,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-111478,1867-3-6,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-4588,1867-3-6,11,0-1-1-0-0-0-0-0-1-2-2-1-2-0-0,1860,0.8079222835483788,2.090909090909091,4.0,0.7708333333333333,4,6,0.0,1.89,0.9,0.6400000000000001,1.6,4
1860-106916,1867-3-8,11,0-1-1-0-0-0-1-0-0-1-2-2-2-0-0,1860,1.5292596308263777,2.272727272727273,3.0,1.0,5,7,0.0,2.69,0.9,0.41000000000000003,1.3,2
1860-37609,1867-3-8,11,0-1-1-0-0-0-0-0-1-3-3-0-1-0-0,1860,1.3129357094753946,1.5454545454545454,4.0,0.7083333333333333,3,6,0.0,1.49,0.9,0.96,1.8,4
1860-72898,1867-3-8,11,0-1-1-0-0-0-1-0-1-2-2-1-1-0-0,1860,1.5292596308263777,2.272727272727273,3.0,0.8333333333333334,4,7,0.0,2.09,0.9,0.44000000000000006,1.4,3
1860-98992,1867-3-8,13,0-1-1-0-0-0-1-0-1-3-3-1-1-0-0,1860,1.5345292995968915,2.6923076923076925,4.0,0.875,5,8,0.0,2.4097222222222223,0.9166666666666666,0.888888888888889,1.6666666666666667,4
1860-26756,1867-3-9,11,0-1-1-0-0-0-0-0-2-2-2-1-1-0-0,1860,0.9989775203110881,1.7272727272727273,4.0,0.6666666666666666,3,7,0.0,1.89,0.9,0.96,1.8,4
1860-78164,1867-3-9,11,0-1-1-0-0-0-1-0-1-1-1-2-2-0-0,1860,1.0845738095649322,3.5454545454545454,3.0,1.0,6,8,0.0,3.6900000000000004,0.9,0.36000000000000004,1.2,2
1860-116496,1867-4-1,12,0-1-1-0-0-0-1-0-0-3-3-1-1-0-0,1860,1.212735544376878,3.4166666666666665,4.0,0.875,5,7,0.0,2.2644628099173554,0.9090909090909091,0.6115702479338843,1.4545454545454546,4
1860-116474,1867-4-1,11,0-1-1-0-0-0-1-0-1-1-2-1-2-0-0,1860,1.612641239765429,2.090909090909091,4.0,0.8888888888888888,5,7,0.0,2.69,0.9,0.64,1.4,4
1860-27643,1867-4-1,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-14022,1867-4-1,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-84799,1867-4-1,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.8333333333333334,2,2,0.0,0.56,0.8,0.56,1.2,2
1860-90112,1867-4-1,11,0-1-1-0-0-0-1-0-1-2-2-1-1-0-0,1860,1.2823995528948522,2.909090909090909,4.0,0.9375,4,6,0.0,1.89,0.9,0.8099999999999999,1.7,3
1860-94514,1867-4-2,11,0-1-1-0-0-0-1-0-1-2-3-1-0-0-0,1860,1.192787394205165,3.1818181818181817,4.0,0.875,4,6,0.0,1.69,0.9,0.8400000000000001,1.6,3
1860-80090,1867-4-2,12,0-1-1-0-0-0-1-0-1-3-3-0-1-0-0,1860,1.4298000496147054,2.75,4.0,0.95,4,6,0.0,1.7190082644628097,0.9090909090909091,0.7438016528925622,1.7272727272727273,3
1860-78971,1867-4-2,12,0-1-1-0-0-0-0-0-2-2-2-1-1-0-0,1860,1.2739823928775686,2.1666666666666665,3.0,0.7999999999999999,5,7,0.0,2.69,0.9,0.41,1.3,4
1860-32370,1867-4-2,12,0-1-1-0-0-0-1-0-1-2-3-1-1-0-0,1860,1.3999470864650243,2.8333333333333335,3.0,1.0,5,7,0.2,2.2644628099173554,0.9090909090909091,0.4132231404958678,1.3636363636363635,4
1860-111091,1867-4-5,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-49598,1867-4-5,11,0-1-1-0-0-0-0-0-1-2-2-1-2-0-0,1860,1.0592560015806425,3.6363636363636362,4.0,0.8333333333333334,4,7,0.0,2.09,0.9,1.01,1.7,3
1860-3930,1867-4-6,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-59723,1867-4-9,11,0-1-1-0-0-0-1-0-1-1-2-2-1-0-0,1860,1.1646165172384686,3.272727272727273,3.0,1.0,5,7,0.0,2.69,0.9,0.41,1.3,2
1860-116863,1867-4-9,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-21195,1867-4-9,12,0-1-1-0-0-0-1-0-1-2-2-1-2-0-0,1860,1.119645121310866,3.75,3.0,1.0,6,8,0.0,3.355371900826445,0.9090909090909091,0.38016528925619836,1.2727272727272727,2
1860-108530,1867-4-9,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
