id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1800-60870,1805-02-21,12,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.4343037677960628,2.090909090909091,4.0,0.7916666666666666,3,7,0.0,1.5371900826446279,0.9090909090909091,0.7438016528925618,1.7272727272727273,4
1800-10625,1805-02-22,9,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,4.0,0.7222222222222222,3,5,0.0,1.359375,0.875,0.984375,1.625,4
1800-43874,1805-02-28,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.2809338454620642,1.6666666666666667,3.0,1.0,3,3,0.0,1.1388888888888888,0.8333333333333334,0.47222222222222215,1.1666666666666667,2
1800-57603,1805-03-01,11,2-0-1-1-0-2-0-0-2-0-0-0-1-0-0-1,1800,1.3682248378119541,1.8,3.0,0.9,5,6,0.0,2.29,0.9,0.41,1.3,2
1800-18205,1805-03-04,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.0397207708399179,1.5,3.0,0.8333333333333333,3,4,0.0,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-1303,1805-03-05,12,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.4343037677960628,2.090909090909091,4.0,0.7916666666666666,3,7,0.0,1.5371900826446279,0.9090909090909091,0.7438016528925618,1.7272727272727273,4
1800-13807,1805-03-06,13,2-0-1-1-0-2-1-0-1-0-0-0-1-0-0-1,1800,1.2202854179839744,2.8,3.0,0.9333333333333332,5,7,0.0,2.4899999999999998,0.9,0.41,1.3,4
1800-9395,1805-03-06,11,2-0-0-1-0-3-1-0-1-0-0-0-1-0-0-1,1800,0.9586613461017003,2.1,4.0,0.7222222222222222,4,7,0.0,2.09,0.9,1.0900000000000003,1.9,4
1800-9365,1805-03-06,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,0.916290731874155,2.0,2.0,1.0,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-32142,1805-03-06,9,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-1,1800,1.530135397345781,1.5,3.0,0.9166666666666666,4,5,0.0,1.859375,0.875,0.4375,1.25,2
1800-9279,1805-03-06,7,1-0-1-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,3.0,0.875,4,4,0.0,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2
1800-18772,1807-04-05,11,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.3744360978112327,1.6,5.0,0.6041666666666666,4,6,0.0,1.89,0.9,1.49,1.9,6
1800-8971,1807-04-05,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-17076,1807-04-05,8,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-0,1800,0.5209699507845995,1.5714285714285714,4.0,0.5,2,4,0.0,0.9795918367346939,0.8571428571428571,1.0612244897959184,1.7142857142857142,4
1800-16408,1807-04-05,11,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.3744360978112327,1.6,5.0,0.6041666666666666,4,6,0.0,1.89,0.9,1.49,1.9,6
1800-16182,1807-04-05,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-18798,1807-04-05,12,2-0-1-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.2557772956354458,1.6363636363636365,5.0,0.7083333333333333,3,7,0.0,1.5371900826446279,0.9090909090909091,1.5371900826446279,2.090909090909091,6
1800-11436,1807-04-05,12,3-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,0.6475796334731995,2.4545454545454546,3.0,0.8125,4,7,0.0,1.9008264462809914,0.9090909090909091,0.42975206611570244,1.4545454545454546,2
1800-42587,1807-04-05,13,3-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.1856236656577395,1.8333333333333333,5.0,0.7291666666666666,4,8,0.0,1.9097222222222225,0.9166666666666666,1.5208333333333333,2.25,6
1800-16434,1807-04-05,12,2-0-1-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.2557772956354458,1.6363636363636365,5.0,0.7083333333333333,3,7,0.0,1.5371900826446279,0.9090909090909091,1.5371900826446279,2.090909090909091,6
1800-10755,1807-04-05,8,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-0,1800,0.5209699507845995,1.5714285714285714,4.0,0.5,2,4,0.0,0.9795918367346939,0.8571428571428571,1.0612244897959184,1.7142857142857142,4
1800-53114,1807-04-05,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-8163,1807-04-05,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-9073,1807-04-05,12,3-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,0.6475796334731995,2.4545454545454546,3.0,0.8125,4,7,0.0,1.9008264462809914,0.9090909090909091,0.42975206611570244,1.4545454545454546,2
1800-18808,1807-04-05,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,0.7559287920476182,2.1,4.0,0.7083333333333333,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,4
1800-16444,1807-04-05,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,0.7559287920476182,2.1,4.0,0.7083333333333333,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,4
1800-46370,1808-01-26,6,1-0-0-1-0-1-1-0-0-0-0-0-1-0-0-0,1800,0.916290731874155,2.0,2.0,1.0,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-6015,1808-02-15,12,2-0-0-2-0-3-1-0-2-0-0-0-0-0-0-1,1800,1.4058295918606152,1.8181818181818181,4.0,0.875,4,7,0.0,2.264462809917355,0.9090909090909091,0.6115702479338843,1.5454545454545454,4
1800-52767,1808-04-13,12,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.010654837602461,2.090909090909091,4.0,0.75,4,7,0.0,1.7190082644628097,0.9090909090909091,0.7768595041322314,1.6363636363636365,4
1800-24783,1808-05-09,11,2-0-1-1-0-2-0-0-2-0-0-0-1-0-0-1,1800,1.2566530621548493,1.8,4.0,0.8055555555555555,4,7,0.0,2.09,0.9,0.8400000000000001,1.6,4
1800-43118,1808-05-16,11,2-0-1-1-0-2-1-0-1-0-0-0-1-0-0-1,1800,1.2025858408845735,1.9,4.0,0.75,4,7,0.0,2.09,0.9,1.01,1.7,4
1800-24344,1808-05-19,11,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-1,1800,1.5198257537444133,1.75,3.0,0.9166666666666666,4,5,0.0,1.859375,0.875,0.4375,1.25,2
1800-33972,1808-05-20,12,3-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.4585098496895281,2.1818181818181817,4.0,0.75,4,6,0.0,1.5371900826446279,0.9090909090909091,0.6115702479338843,1.5454545454545454,3
1800-44833,1808-05-25,9,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-1,1800,1.3589319112752674,1.625,3.0,0.9166666666666666,4,5,0.0,1.859375,0.875,0.4375,1.25,2
1800-44782,1808-05-25,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.0216512475319814,1.8,3.0,1.0,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-5170,1808-05-25,7,1-0-1-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,3.0,0.875,4,4,0.0,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2
1800-11454,1808-05-25,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.2025858408845735,1.9,4.0,0.8333333333333334,4,7,0.0,2.4899999999999998,0.9,0.65,1.5,4
1800-599,1808-05-27,12,2-0-1-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.4284947156102672,2.6363636363636362,3.0,1.0,5,7,0.0,2.2644628099173554,0.9090909090909091,0.4132231404958678,1.3636363636363635,2
1800-5013,1808-05-27,11,2-0-1-1-0-2-0-0-2-0-0-0-1-0-0-1,1800,1.1025023823275908,2.1,3.0,0.8666666666666667,5,7,0.0,2.4899999999999998,0.9,0.41,1.3,2
1800-719,1808-05-27,11,2-0-0-1-0-2-1-0-2-0-0-0-1-0-0-1,1800,1.058744804658683,1.9,4.0,0.8055555555555555,4,7,0.0,2.09,0.9,0.8099999999999999,1.7,4
1800-62181,1808-05-31,11,2-0-0-1-0-2-1-0-2-0-0-0-1-0-0-1,1800,1.058744804658683,1.9,4.0,0.8055555555555555,4,7,0.0,2.09,0.9,0.8099999999999999,1.7,4
1800-62183,1808-05-31,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.315544579983041,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-32545,1808-06-10,7,1-0-1-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,3.0,0.875,4,4,0.0,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2
1800-30673,1808-06-15,6,1-0-0-1-0-1-1-0-0-0-0-0-1-0-0-0,1800,0.916290731874155,2.0,2.0,1.0,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-30662,1808-06-15,7,1-0-1-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,3.0,0.875,4,4,0.0,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2
1800-21970,1808-06-22,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-58602,1808-06-23,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.2729656758128876,1.4,3.0,1.0,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-12268,1809-01-19,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
