len_group,metric,MannKendall,p,slope,Parser,Corpus
30,depthVar,1,0.0271650760133577,4.243295260600457e-05,corenlp,Hansard (en)
30,depthMean,1,0.034371525919109,2.370516464435411e-05,corenlp,Hansard (en)
30,d$_{head-final}$,0,0.1187968659816174,0.0,corenlp,Hansard (en)
30,#Crossings,0,1.0,0.0,corenlp,Hansard (en)
30,Height$_{dependency}$,0,0.4746278802242802,0.0,corenlp,Hansard (en)
30,d$_{root}$,0,0.1450603676595916,0.0,corenlp,Hansard (en)
30,d$_{randomTree}$,0,0.9072533458709786,0.0,corenlp,Hansard (en)
40,mDD,0,0.5420067090625793,3.3058422796983138e-06,corenlp,Hansard (en)
40,nDD,0,0.6572800218462254,-3.1776597974731787e-06,corenlp,Hansard (en)
40,Height,1,0.0318372653349601,0.0,corenlp,Hansard (en)
40,Ratio$_{head-final}$,2,0.0117038561034237,-3.0056685364343382e-06,corenlp,Hansard (en)
40,treeDegree,2,0.0319243086805172,0.0,corenlp,Hansard (en)
40,#Leaves,0,0.1861178405283485,0.0,corenlp,Hansard (en)
40,degreeVar,2,0.0265626732108648,-1.686537830497778e-05,corenlp,Hansard (en)
40,degreeMean,0,0.1214660765868878,0.0,corenlp,Hansard (en)
40,depthVar,1,0.0429634801345508,5.1184725529849486e-05,corenlp,Hansard (en)
40,depthMean,0,0.0610806155231054,2.515559922105489e-05,corenlp,Hansard (en)
40,d$_{head-final}$,0,0.2124441617314452,0.0,corenlp,Hansard (en)
